target_work_id,title,doi,scholar_profile_count,openalex_retrieved_edges,union_retrieved_edges,non_research_record_edges,scope_basis
W4413754711,End-to-End Stochastic Predict-Then-Optimize for Cost-Efficient Water-Energy Resource Scheduling,10.1109/tsg.2025.3601238,6,3,4,0,"Google Scholar profile publication list, verified DOI"
W4399709078,Knowledge-based Bi-correction model for achieving effective lag-free characteristic on daily urban water demand forecasting,10.1016/j.eswa.2024.124508,12,11,11,0,"Google Scholar profile publication list, verified DOI"
W4376479136,CritiCoder: An End-to-End Uncertain Regression Network for Robust Macroscopic Pressure Models in Water Distribution Systems,10.1109/tcss.2023.3272330,2,2,2,0,"Google Scholar profile publication list, verified DOI"
W3202625584,A Fine Grained Forecasting Method for Minute-Level Urban Water Demand,10.23919/ccc52363.2021.9550182,5,3,3,0,"Google Scholar profile publication list, verified DOI"
W7165130889,DRIFT: Coordinating target intent and local geometry for diffusion-based trajectory generation,10.1016/j.eswa.2026.133261,0,0,0,0,"Google Scholar profile publication list, verified DOI"
W4390829281,Reinforcement Learning Controller Design for Discrete-Time-Constrained Nonlinear Systems With Weight Initialization Method,10.1109/tsmc.2023.3344883,11,9,9,0,"Google Scholar profile publication list, verified DOI"
W4388740257,A Novel Series-Concatenation Hybrid Prediction Model of Energy Consumption in Hot Strip Roughing Process With Multi-Step Rolling,10.1109/tase.2023.3299185,8,7,7,0,"Google Scholar profile publication list, verified DOI"
W4391020081,Adaptive Optimal Control of Nonlinear Systems with Multiple Time-Scale Eligibility Traces,10.1109/cdc49753.2023.10383316,0,0,0,0,"Google Scholar profile publication list, verified DOI"
W4388904509,The CEEMDAN-ps-gcGRU Model On Water Pressure Prediction With Strong Irregularity,10.1016/j.ifacol.2023.10.581,1,0,0,0,"Google Scholar profile publication list, verified DOI"
W3204859870,An Improved Ensemble Deep Learning Model for Water Leakage Detection,10.23919/ccc52363.2021.9550267,0,0,0,0,"Google Scholar profile publication list, verified DOI"
W4316660809,Prediction of Energy Consumption in Horizontal Roughing Process of Hot Rolling Strip Based on TDADE Algorithm,10.1109/tase.2023.3236306,13,13,13,0,"Google Scholar profile publication list, verified DOI"
W4388579581,Adaptive Dynamic Programming for Optimal Control of Discrete-Time Nonlinear Systems With Trajectory-Based Initial Control Policy,10.1109/tsmc.2023.3327450,8,7,7,0,"Google Scholar profile publication list, verified DOI"
W7140303640,GEM: Guided Expectation-Maximization for Behavior-Normalized Candidate Action Selection in Offline RL,10.48550/arxiv.2603.23232,0,0,0,0,"Google Scholar profile publication list, verified DOI"
W7204989471,Optimal fault feature learning for machinery fault diagnosis by using recurrent attentional reinforcement learning,10.1007/s10489-026-07434-4,0,0,0,0,"Google Scholar profile publication list, verified DOI"
W4393188243,Parallel Cross Entropy Policy Gradient Adaptive Dynamic Programming for Optimal Tracking Control of Discrete-Time Nonlinear Systems,10.1109/tsmc.2024.3373456,,4,4,1,Publisher-deposited Crossref ORCID matches profile author; supplementary to Scholar list
